Squarefree monomial ideals in 5 variables up to relabeling
Total representatives: 210

1: ()   (0)
2: ((),)   (1)
3: ((1,),)   (x1)
4: ((1, 2),)   (x1*x2)
5: ((1, 2, 3),)   (x1*x2*x3)
6: ((1, 2, 3, 4),)   (x1*x2*x3*x4)
7: ((1, 2, 3, 4, 5),)   (x1*x2*x3*x4*x5)
8: ((1,), (2,))   (x1, x2)
9: ((1,), (2, 3))   (x1, x2*x3)
127: ((1, 2), (1, 3), (2, 3, 4), (1, 4, 5), (2, 4, 5))   (x1*x2, x1*x3, x2*x3*x4, x1*x4*x5, x2*x4*x5)
128: ((1, 2), (1, 3), (2, 3, 4), (2, 4, 5), (3, 4, 5))   (x1*x2, x1*x3, x2*x3*x4, x2*x4*x5, x3*x4*x5)
129: ((1, 2), (1, 3), (1, 4, 5), (2, 4, 5), (3, 4, 5))   (x1*x2, x1*x3, x1*x4*x5, x2*x4*x5, x3*x4*x5)
130: ((1, 2), (3, 4), (1, 3, 5), (2, 3, 5), (1, 4, 5))   (x1*x2, x3*x4, x1*x3*x5, x2*x3*x5, x1*x4*x5)
131: ((1, 2), (1, 3, 4), (2, 3, 4), (1, 3, 5), (2, 3, 5))   (x1*x2, x1*x3*x4, x2*x3*x4, x1*x3*x5, x2*x3*x5)
132: ((1, 2), (1, 3, 4), (2, 3, 4), (1, 3, 5), (1, 4, 5))   (x1*x2, x1*x3*x4, x2*x3*x4, x1*x3*x5, x1*x4*x5)
133: ((1, 2), (1, 3, 4), (2, 3, 4), (1, 3, 5), (2, 4, 5))   (x1*x2, x1*x3*x4, x2*x3*x4, x1*x3*x5, x2*x4*x5)
134: ((1, 2), (1, 3, 4), (2, 3, 4), (1, 3, 5), (3, 4, 5))   (x1*x2, x1*x3*x4, x2*x3*x4, x1*x3*x5, x3*x4*x5)
135: ((1, 2), (1, 3, 4), (1, 3, 5), (1, 4, 5), (3, 4, 5))   (x1*x2, x1*x3*x4, x1*x3*x5, x1*x4*x5, x3*x4*x5)
136: ((1, 2), (1, 3, 4), (1, 3, 5), (1, 4, 5), (2, 3, 4, 5))   (x1*x2, x1*x3*x4, x1*x3*x5, x1*x4*x5, x2*x3*x4*x5)
137: ((1, 2), (1, 3, 4), (1, 3, 5), (2, 4, 5), (3, 4, 5))   (x1*x2, x1*x3*x4, x1*x3*x5, x2*x4*x5, x3*x4*x5)
138: ((1, 2, 3), (1, 2, 4), (1, 3, 4), (2, 3, 4), (1, 2, 5))   (x1*x2*x3, x1*x2*x4, x1*x3*x4, x2*x3*x4, x1*x2*x5)
139: ((1, 2, 3), (1, 2, 4), (1, 3, 4), (1, 2, 5), (1, 3, 5))   (x1*x2*x3, x1*x2*x4, x1*x3*x4, x1*x2*x5, x1*x3*x5)
140: ((1, 2, 3), (1, 2, 4), (1, 3, 4), (1, 2, 5), (2, 3, 5))   (x1*x2*x3, x1*x2*x4, x1*x3*x4, x1*x2*x5, x2*x3*x5)
141: ((1, 2, 3), (1, 2, 4), (1, 3, 4), (1, 2, 5), (3, 4, 5))   (x1*x2*x3, x1*x2*x4, x1*x3*x4, x1*x2*x5, x3*x4*x5)
142: ((1, 2, 3), (1, 2, 4), (1, 3, 4), (1, 2, 5), (2, 3, 4, 5))   (x1*x2*x3, x1*x2*x4, x1*x3*x4, x1*x2*x5, x2*x3*x4*x5)
143: ((1, 2, 3), (1, 2, 4), (1, 3, 4), (2, 3, 5), (2, 4, 5))   (x1*x2*x3, x1*x2*x4, x1*x3*x4, x2*x3*x5, x2*x4*x5)
144: ((1, 2, 3), (1, 2, 4), (1, 2, 5), (1, 3, 4, 5), (2, 3, 4, 5))   (x1*x2*x3, x1*x2*x4, x1*x2*x5, x1*x3*x4*x5, x2*x3*x4*x5)
145: ((1, 2, 3), (1, 2, 4), (1, 3, 5), (1, 4, 5), (2, 3, 4, 5))   (x1*x2*x3, x1*x2*x4, x1*x3*x5, x1*x4*x5, x2*x3*x4*x5)
146: ((1, 2, 3), (1, 2, 4), (1, 3, 5), (2, 4, 5), (3, 4, 5))   (x1*x2*x3, x1*x2*x4, x1*x3*x5, x2*x4*x5, x3*x4*x5)
147: ((1, 2, 3, 4), (1, 2, 3, 5), (1, 2, 4, 5), (1, 3, 4, 5), (2, 3, 4, 5))   (x1*x2*x3*x4, x1*x2*x3*x5, x1*x2*x4*x5, x1*x3*x4*x5, x2*x3*x4*x5)
148: ((1,), (2, 3), (2, 4), (3, 4), (2, 5), (3, 5))   (x1, x2*x3, x2*x4, x3*x4, x2*x5, x3*x5)
149: ((1, 2), (1, 3), (2, 3), (1, 4), (2, 4), (3, 4))   (x1*x2, x1*x3, x2*x3, x1*x4, x2*x4, x3*x4)
150: ((1, 2), (1, 3), (2, 3), (1, 4), (2, 4), (1, 5))   (x1*x2, x1*x3, x2*x3, x1*x4, x2*x4, x1*x5)
