original_index,table_type,ideal,betti_dictionary,total_betti_vector,pd,reg
171,111,"(x1*x2, x1*x3*x4, x2*x3*x4, x1*x3*x5, x2*x3*x5, x1*x4*x5)","{(0, 0): 1, (1, 2): 1, (1, 3): 5, (2, 4): 8, (3, 5): 3}","(1, 6, 8, 3)",3,2
172,111,"(x1*x2, x1*x3*x4, x2*x3*x4, x1*x3*x5, x2*x3*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 1, (1, 3): 5, (2, 4): 8, (3, 5): 3}","(1, 6, 8, 3)",3,2
173,111,"(x1*x2, x1*x3*x4, x2*x3*x4, x1*x3*x5, x1*x4*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 1, (1, 3): 5, (2, 4): 8, (3, 5): 3}","(1, 6, 8, 3)",3,2
174,111,"(x1*x2, x1*x3*x4, x2*x3*x4, x1*x3*x5, x2*x4*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 1, (1, 3): 5, (2, 4): 8, (3, 5): 3}","(1, 6, 8, 3)",3,2
175,112,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x2*x3*x4, x1*x2*x5, x1*x3*x5)","{(0, 0): 1, (1, 3): 6, (2, 4): 7, (3, 5): 2}","(1, 6, 7, 2)",3,2
176,112,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x2*x3*x4, x1*x2*x5, x3*x4*x5)","{(0, 0): 1, (1, 3): 6, (2, 4): 7, (3, 5): 2}","(1, 6, 7, 2)",3,2
177,113,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x1*x2*x5, x1*x3*x5, x1*x4*x5)","{(0, 0): 1, (1, 3): 6, (2, 4): 8, (3, 5): 3}","(1, 6, 8, 3)",3,2
178,112,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x1*x2*x5, x1*x3*x5, x2*x4*x5)","{(0, 0): 1, (1, 3): 6, (2, 4): 7, (3, 5): 2}","(1, 6, 7, 2)",3,2
179,114,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x1*x2*x5, x1*x3*x5, x2*x3*x4*x5)","{(0, 0): 1, (1, 3): 5, (1, 4): 1, (2, 4): 6, (2, 5): 1, (3, 5): 2}","(1, 6, 7, 2)",3,3
180,112,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x1*x2*x5, x2*x3*x5, x3*x4*x5)","{(0, 0): 1, (1, 3): 6, (2, 4): 7, (3, 5): 2}","(1, 6, 7, 2)",3,2
181,112,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x2*x3*x5, x2*x4*x5, x3*x4*x5)","{(0, 0): 1, (1, 3): 6, (2, 4): 7, (3, 5): 2}","(1, 6, 7, 2)",3,2
182,115,"(x1, x2*x3, x2*x4, x3*x4, x2*x5, x3*x5, x4*x5)","{(0, 0): 1, (1, 1): 1, (1, 2): 6, (2, 3): 14, (3, 4): 11, (4, 5): 3}","(1, 7, 14, 11, 3)",4,1
183,116,"(x1*x2, x1*x3, x2*x3, x1*x4, x2*x4, x3*x4, x1*x5)","{(0, 0): 1, (1, 2): 7, (2, 3): 11, (3, 4): 6, (4, 5): 1}","(1, 7, 11, 6, 1)",4,1
184,117,"(x1*x2, x1*x3, x2*x3, x1*x4, x2*x4, x1*x5, x2*x5)","{(0, 0): 1, (1, 2): 7, (2, 3): 12, (3, 4): 8, (4, 5): 2}","(1, 7, 12, 8, 2)",4,1
185,116,"(x1*x2, x1*x3, x2*x3, x1*x4, x2*x4, x1*x5, x3*x5)","{(0, 0): 1, (1, 2): 7, (2, 3): 11, (3, 4): 6, (4, 5): 1}","(1, 7, 11, 6, 1)",4,1
186,118,"(x1*x2, x1*x3, x2*x3, x1*x4, x2*x4, x1*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 6, (1, 3): 1, (2, 3): 9, (2, 4): 2, (3, 4): 5, (3, 5): 1, (4, 5): 1}","(1, 7, 11, 6, 1)",4,2
187,116,"(x1*x2, x1*x3, x2*x3, x1*x4, x2*x4, x3*x5, x4*x5)","{(0, 0): 1, (1, 2): 7, (2, 3): 11, (3, 4): 6, (4, 5): 1}","(1, 7, 11, 6, 1)",4,1
188,119,"(x1*x2, x1*x3, x2*x3, x1*x4, x1*x5, x2*x4*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 5, (1, 3): 2, (2, 3): 7, (2, 4): 4, (3, 4): 4, (3, 5): 2, (4, 5): 1}","(1, 7, 11, 6, 1)",4,2
189,120,"(x1*x2, x1*x3, x1*x4, x2*x3*x4, x1*x5, x2*x3*x5, x2*x4*x5)","{(0, 0): 1, (1, 2): 4, (1, 3): 3, (2, 3): 6, (2, 4): 5, (3, 4): 4, (3, 5): 2, (4, 5): 1}","(1, 7, 11, 6, 1)",4,2
190,118,"(x1*x2, x1*x3, x1*x4, x2*x3*x4, x2*x5, x3*x5, x4*x5)","{(0, 0): 1, (1, 2): 6, (1, 3): 1, (2, 3): 9, (2, 4): 2, (3, 4): 5, (3, 5): 1, (4, 5): 1}","(1, 7, 11, 6, 1)",4,2
191,121,"(x1*x2, x1*x3, x1*x4, x2*x3*x4, x2*x3*x5, x2*x4*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 3, (1, 3): 4, (2, 3): 3, (2, 4): 7, (3, 4): 1, (3, 5): 3}","(1, 7, 10, 4)",3,2
192,122,"(x1*x2, x1*x3, x2*x3*x4, x2*x3*x5, x1*x4*x5, x2*x4*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 2, (1, 3): 5, (2, 3): 1, (2, 4): 9, (3, 5): 4}","(1, 7, 10, 4)",3,2
193,123,"(x1*x2, x1*x3*x4, x2*x3*x4, x1*x3*x5, x2*x3*x5, x1*x4*x5, x2*x4*x5)","{(0, 0): 1, (1, 2): 1, (1, 3): 6, (2, 4): 10, (3, 5): 4}","(1, 7, 10, 4)",3,2
194,123,"(x1*x2, x1*x3*x4, x2*x3*x4, x1*x3*x5, x2*x3*x5, x1*x4*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 1, (1, 3): 6, (2, 4): 10, (3, 5): 4}","(1, 7, 10, 4)",3,2
195,124,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x2*x3*x4, x1*x2*x5, x1*x3*x5, x2*x3*x5)","{(0, 0): 1, (1, 3): 7, (2, 4): 9, (3, 5): 3}","(1, 7, 9, 3)",3,2
196,124,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x2*x3*x4, x1*x2*x5, x1*x3*x5, x1*x4*x5)","{(0, 0): 1, (1, 3): 7, (2, 4): 9, (3, 5): 3}","(1, 7, 9, 3)",3,2
